item_id,group,D_ms,P_ms,V_ms,G_dense_ms,G_pruned_ms,fixed_frac,s_obs,per_tok_speedup,e2e_speedup_obs,ceiling_per_tok_s,ceiling_inf_s
videomme:long:669-1,long,23417.5,79.2,4803.7,5183.3,1480.3,0.845,3.501,3.501,1.124,1.124,1.183
videomme:long:711-2,long,42940.1,71.9,5088.7,6163.1,1542.1,0.886,3.997,0.25,1.093,0.746,1.128
videomme:long:712-2,long,56074.0,67.1,5089.9,6178.3,1282.9,0.908,4.816,0.301,1.078,0.825,1.101
videomme:long:712-3,long,56025.9,84.0,5176.6,6316.1,2574.6,0.907,2.453,2.453,1.058,1.059,1.103
videomme:long:737-3,long,125476.4,71.0,4990.1,5080.0,2370.3,0.963,2.143,34.291,1.02,1.038,1.039
videomme:long:756-2,long,88282.0,70.4,5052.3,6302.4,2477.9,0.937,2.543,2.543,1.04,1.04,1.067
videomme:long:758-3,long,58291.2,86.2,4503.9,5620.8,2209.6,0.918,2.544,1.51,1.052,1.029,1.089
videomme:long:794-1,long,59407.8,61.3,5270.0,6213.7,1879.4,0.912,3.306,3.306,1.065,1.065,1.096
videomme:long:847-3,long,71232.5,62.3,6574.5,8152.9,3610.7,0.905,2.258,2.258,1.056,1.056,1.105
videomme:long:892-1,long,116661.0,74.4,5874.5,8335.4,3702.7,0.936,2.251,2.251,1.037,1.037,1.068
videomme:medium:320-3,medium,8181.4,63.2,7123.2,8972.3,3174.6,0.631,2.826,2.826,1.311,1.313,1.584
videomme:medium:354-3,medium,13440.4,67.4,6915.0,8113.3,3216.4,0.716,2.522,2.522,1.206,1.207,1.397
videomme:medium:364-2,medium,7305.5,67.7,6572.1,7554.5,3625.8,0.649,2.084,2.084,1.223,1.224,1.542
videomme:medium:380-3,medium,7097.0,61.9,6331.8,6401.8,1979.3,0.678,3.234,3.234,1.285,1.286,1.475
videomme:medium:407-1,medium,13058.1,68.8,6560.4,7544.6,3595.8,0.723,2.098,2.098,1.169,1.17,1.383
videomme:medium:408-1,medium,15295.9,61.9,6331.3,7496.3,3420.1,0.743,2.192,2.192,1.162,1.162,1.346
videomme:medium:426-3,medium,5849.6,62.0,6396.2,6393.4,1808.5,0.658,3.535,3.535,1.324,1.325,1.519
videomme:medium:484-2,medium,2248.8,60.8,6449.7,8395.3,3118.9,0.511,2.692,2.692,1.443,1.444,1.958
videomme:medium:486-2,medium,11807.0,64.1,7073.9,7011.9,1972.6,0.73,3.555,3.555,1.24,1.241,1.37
videomme:medium:531-1,medium,5090.3,69.7,6370.6,7986.8,3354.3,0.591,2.381,2.381,1.31,1.311,1.693
videomme:short:037-2,short,2542.0,70.5,6441.6,7083.8,2090.0,0.561,3.389,3.389,1.446,1.448,1.782
videomme:short:100-2,short,2078.1,62.3,6702.0,6808.4,3150.3,0.565,2.161,34.579,1.304,1.731,1.77
videomme:short:116-3,short,3180.5,61.5,6955.0,6989.0,3011.8,0.593,2.321,37.128,1.3,1.655,1.685
videomme:short:120-2,short,3461.9,54.0,7123.7,8274.4,2844.6,0.563,2.909,0.182,1.401,0.337,1.778
videomme:short:158-3,short,3327.7,82.4,7180.6,7374.9,2141.7,0.589,3.443,3.443,1.409,1.411,1.696
videomme:short:160-1,short,2817.1,65.6,6620.4,7916.7,3534.7,0.546,2.24,2.24,1.335,1.336,1.833
videomme:short:210-2,short,3222.1,68.6,6573.0,7232.2,3155.8,0.577,2.292,36.668,1.312,1.699,1.733
videomme:short:264-1,short,3729.6,66.2,6796.7,9412.4,3104.4,0.529,3.032,3.032,1.459,1.461,1.889
videomme:short:278-3,short,4408.3,70.1,6547.6,7940.7,4114.2,0.581,1.93,1.93,1.252,1.253,1.72
videomme:short:282-2,short,5032.6,66.6,6805.5,8610.6,3319.7,0.58,2.594,2.594,1.346,1.348,1.723
