frame,region,score_mass_share,selected_token_share,starvation_deficit,selected_tokens,region_tokens
0,center,0.0,0.16,-0.16,64,64
0,boundary,0.0,0.64,-0.64,256,256
0,ocr_edge_proxy_top15,0.0,0.15,-0.15,60,60
1,center,0.15698111210658183,0.15789473684210525,-0.0009136247355234217,3,64
1,boundary,0.49969237994512744,0.47368421052631576,0.026008169418811677,9,256
1,ocr_edge_proxy_top15,0.5261595376181366,0.5263157894736842,-0.00015625185554757337,10,60
2,center,0.16368719900513332,0.15789473684210525,0.0057924621630280615,3,64
2,boundary,0.48535287320239584,0.5789473684210527,-0.09359449521865681,11,256
2,ocr_edge_proxy_top15,0.5103590411371047,0.5263157894736842,-0.01595674833657945,10,60
3,center,0.15648843577649135,0.2,-0.04351156422350866,4,64
3,boundary,0.49367369489719876,0.55,-0.05632630510280129,11,256
3,ocr_edge_proxy_top15,0.5222975441009002,0.65,-0.1277024558990998,13,60
4,center,0.13327444784606732,0.1111111111111111,0.022163336734956213,4,64
4,boundary,0.5062296663317895,0.5,0.006229666331789452,18,256
4,ocr_edge_proxy_top15,0.5126779192718226,0.5277777777777778,-0.015099858505955188,19,60
5,center,0.1348190644383638,0.10526315789473684,0.02955590654362697,4,64
5,boundary,0.5084707719664013,0.5263157894736842,-0.017845017507282845,20,256
5,ocr_edge_proxy_top15,0.5229743123423276,0.5789473684210527,-0.05597305607872505,22,60
6,center,0.1332403021911231,0.10256410256410256,0.030676199627020534,4,64
6,boundary,0.5001638396418902,0.5128205128205128,-0.012656673178622624,20,256
6,ocr_edge_proxy_top15,0.5158376019536781,0.5641025641025641,-0.04826496214888598,22,60
7,center,0.1386090877572357,0.1,0.038609087757235705,2,64
7,boundary,0.5028076752015858,0.6,-0.09719232479841422,12,256
7,ocr_edge_proxy_top15,0.5416689118850739,0.55,-0.00833108811492611,11,60
8,center,0.1182847437376721,0.0,0.1182847437376721,0,64
8,boundary,0.5318082057821578,0.6875,-0.15569179421784218,11,256
8,ocr_edge_proxy_top15,0.5435078951664425,0.625,-0.08149210483355751,10,60
9,center,0.16025841473393376,0.043478260869565216,0.11678015386436855,1,64
9,boundary,0.48841121913281543,0.5652173913043478,-0.07680617217153235,13,256
9,ocr_edge_proxy_top15,0.5440886009345318,0.6086956521739131,-0.06460705123938126,14,60
10,center,0.11880595804941677,0.0625,0.056305958049416766,2,64
10,boundary,0.5131729717277809,0.53125,-0.01807702827221913,17,256
10,ocr_edge_proxy_top15,0.5514410887416408,0.6875,-0.13605891125835923,22,60
11,center,0.0983764553053868,0.030303030303030304,0.0680734250023565,1,64
11,boundary,0.5279855113026604,0.5151515151515151,0.012833996151145222,17,256
11,ocr_edge_proxy_top15,0.5680175101348729,0.6363636363636364,-0.06834612622876346,21,60
12,center,0.09210731826071318,0.03225806451612903,0.05984925374458415,1,64
12,boundary,0.5304811015486327,0.5161290322580645,0.014352069290568203,16,256
12,ocr_edge_proxy_top15,0.5747563912656704,0.7096774193548387,-0.1349210280891684,22,60
13,center,0.13851648544753795,0.0,0.13851648544753795,0,64
13,boundary,0.5040585104420688,0.6,-0.09594148955793114,15,256
13,ocr_edge_proxy_top15,0.5839853158383661,0.68,-0.09601468416163395,17,60
14,center,0.15226951426813104,0.038461538461538464,0.11380797580659258,1,64
14,boundary,0.47926195430297647,0.5769230769230769,-0.0976611226201004,15,256
14,ocr_edge_proxy_top15,0.5630077816776373,0.6153846153846154,-0.0523768337069781,16,60
15,center,0.09161943409712109,0.043478260869565216,0.04814117322755587,1,64
15,boundary,0.5298984219849239,0.6086956521739131,-0.07879723018898921,14,256
15,ocr_edge_proxy_top15,0.5688411276750669,0.6086956521739131,-0.03985452449884619,14,60
