phase_family,phase_id,source_type,frame_count,model,n_rows,peak_rss_gb,final_rss_gb,max_peak_memory_gb,mean_peak_memory_gb,peak_observed_gb,over_9gb,over_10gb,source_path
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,jsonl,,,21,,,9.524381244,9.524381238857144,9.524381244,True,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/baseline_k1_n7.jsonl
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,jsonl,,,21,,,9.336784444,9.336784438857142,9.336784444,True,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/baseline_k2_n7.jsonl
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,jsonl,,,21,,,8.946959932,8.946957586285714,8.946959932,False,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/baseline_k4_n7.jsonl
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,jsonl,,,21,,,9.524381244,9.430169861904762,9.524381244,True,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/session_k1_n7.jsonl
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,jsonl,,,21,,,9.336784444,9.251506242857143,9.336784444,True,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/session_k2_n7.jsonl
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,jsonl,,,21,,,8.946959932,8.880242462285715,8.946959932,False,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/session_k4_n7.jsonl
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,json,20,qwen2.5-vl-7b-instruct-4bit,21,4.885905408,,,,4.885905408,False,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/summary_k1_n7.json
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,json,20,qwen2.5-vl-7b-instruct-4bit,21,3.304587264,,,,3.304587264,False,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/summary_k2_n7.json
C-PERSIST/1.55,phase1_55D_selective_reprefill_v2,json,20,qwen2.5-vl-7b-instruct-4bit,21,5.039915008,,,,5.039915008,False,False,research/experiments/2026/artifacts/phase1_55D_selective_reprefill_v2/summary_k4_n7.json
C-PERSIST/1.55,phase1_55F_32f_short_adaptive_replication,jsonl,,,21,,,13.614139964,13.447671391999998,13.614139964,True,True,research/experiments/2026/artifacts/phase1_55F_32f_short_adaptive_replication/baseline_k1_n7.jsonl
C-PERSIST/1.55,phase1_55F_32f_short_adaptive_replication,jsonl,,,21,,,13.614139964,13.200635202857143,13.614139964,True,True,research/experiments/2026/artifacts/phase1_55F_32f_short_adaptive_replication/session_k1_n7.jsonl
C-PERSIST/1.55,phase1_55F_32f_short_adaptive_replication,json,32,qwen2.5-vl-7b-instruct-4bit,21,6.09427456,,,,6.09427456,False,False,research/experiments/2026/artifacts/phase1_55F_32f_short_adaptive_replication/summary_k1_n7.json
C-PERSIST/1.55,phase1_55F_long_adaptive_replication,jsonl,,,21,,,10.622109756,10.527681664000001,10.622109756,True,True,research/experiments/2026/artifacts/phase1_55F_long_adaptive_replication/baseline_k1_n7.jsonl
C-PERSIST/1.55,phase1_55F_long_adaptive_replication,jsonl,,,21,,,10.622109756,10.38119750252381,10.622109756,True,True,research/experiments/2026/artifacts/phase1_55F_long_adaptive_replication/session_k1_n7.jsonl
C-PERSIST/1.55,phase1_55F_long_adaptive_replication,json,20,qwen2.5-vl-7b-instruct-4bit,21,6.048350208,,,,6.048350208,False,False,research/experiments/2026/artifacts/phase1_55F_long_adaptive_replication/summary_k1_n7.json
C-PERSIST/1.55,phase1_55F_medium_adaptive_replication,jsonl,,,30,,,10.61385222,10.551881323599998,10.61385222,True,True,research/experiments/2026/artifacts/phase1_55F_medium_adaptive_replication/baseline_k1_n10.jsonl
C-PERSIST/1.55,phase1_55F_medium_adaptive_replication,jsonl,,,30,,,10.61385222,10.449617660766668,10.61385222,True,True,research/experiments/2026/artifacts/phase1_55F_medium_adaptive_replication/session_k1_n10.jsonl
C-PERSIST/1.55,phase1_55F_medium_adaptive_replication,json,20,qwen2.5-vl-7b-instruct-4bit,30,1.941028864,,,,1.941028864,False,False,research/experiments/2026/artifacts/phase1_55F_medium_adaptive_replication/summary_k1_n10.json
C-PERSIST/1.55,phase1_55F_q3_post_q2_state,jsonl,,,21,,,10.613852232,10.525322371428572,10.613852232,True,True,research/experiments/2026/artifacts/phase1_55F_q3_post_q2_state/baseline_k1_n7.jsonl
C-PERSIST/1.55,phase1_55F_q3_post_q2_state,jsonl,,,21,,,10.613852232,10.379231423619048,10.613852232,True,True,research/experiments/2026/artifacts/phase1_55F_q3_post_q2_state/session_k1_n7.jsonl
C-PERSIST/1.55,phase1_55F_q3_post_q2_state,json,20,qwen2.5-vl-7b-instruct-4bit,21,1.439154176,,,,1.439154176,False,False,research/experiments/2026/artifacts/phase1_55F_q3_post_q2_state/summary_k1_n7.json
C-PERSIST/1.55,phase1_55G_k1_medium_replication,jsonl,,,30,,,10.61385222,10.551881323599998,10.61385222,True,True,research/experiments/2026/artifacts/phase1_55G_k1_medium_replication/baseline_k1_n10.jsonl
